 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 PP_ELASTIC.DAT
 P P --> 2P
 0.938270    0.938270      0.            2
 149
 1    0.84600    0.83500    0.85700    23.200     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 2    0.97935    0.95846    1.00002    24.000     1.0000  1.0000     0.0  0.0  FOCARDI 65       NC 39, 405
 3    1.00000    0.98900    1.01100    25.800     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 4    1.00959    0.99452    1.02456    24.000     2.0000  2.0000     20.  20.  SMITH 55         PR 97, 1186
 5    1.03673    1.03552    1.03794    22.000     2.0000  2.0000     0.0  0.0  MESHCHERYAKO 56  NCS 3, 119
 6    1.11100    1.10000    1.12200    25.800     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 7    1.12700    1.12700    1.12700    24.000     5.0000  5.0000     0.0  0.0  ELIOFF 59        PRL 3, 285
 8    1.16810    1.16810    1.16810    25.200     0.80000 0.80000    0.0  0.0  MESHCHERYAKO 56B ZETF 31, 45
 9    1.20634    1.18760    1.22497    25.000     2.0000  2.0000     20.  20.  SMITH 55         PR 97, 1186
 10   1.21500    1.20500    1.22500    25.300     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 11   1.23200    1.23200    1.23200    24.200     1.6000  1.6000     0.0  0.0  ROELLIG 59       PR 116, 1001
 12   1.28140    1.28140    1.28140    25.100     0.80000 0.80000    0.0  0.0  GUZHAVIN 64B     ZETF 46, 1245
 13   1.29017    1.28770    1.29264    23.000     2.0000  2.0000     0.0  0.0  MESHCHERYAKO 56  NCS 3, 119
 14   1.29400    1.29400    1.29400    24.700     1.0000  1.0000     0.0  0.0  MESHCHERYAKO 56B ZETF 31, 45
 15   1.32300    1.31400    1.33200    24.600     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 16   1.42400    1.41500    1.43300    24.300     0.60000 0.60000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 17   1.46329    1.43948    1.48700    21.000     2.0000  2.0000     20.  20.  SMITH 55         PR 97, 1186
 18   1.47516    1.35515    1.59240    24.000     3.0000  3.0000     0.0  0.0  MORRIS 56        PR 103, 1472
 19   1.53100    1.52000    1.54200    24.100     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 20   1.62800    1.62800    1.62800    26.000     3.0000  3.0000     0.0  0.0  ELIOFF 59        PRL 3, 285
 21   1.66167    1.66167    1.66167    26.800     2.3000  2.3000     0.0  0.0  MCFARLANE 63     NC 28, 943
 22   1.66167    1.64442    1.67887    24.800     0.90000 0.90000    0.0  0.0  BUGG 64          PR 133, B1017
 23   1.68700    1.67500    1.69900    24.700     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 24   1.69000    1.69000    1.69000    28.200     2.1000  2.1000     0.0  0.0  MURRAY 67        NC A49, 261
 25   1.69604    1.66741    1.72455    19.000     3.0000  3.0000     20.  20.  SMITH 55         PR 97, 1186
 26   1.78500    1.77300    1.79700    22.700     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 27   1.88600    1.87400    1.89800    22.500     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 28   1.99000    1.97900    2.00100    22.100     0.50000 0.50000    0.5  0.5  SHIMIZU 82B      NP A386, 571
 29   2.20000    2.20000    2.20000    22.200     3.4000  3.4000     0.0  0.0  KRUCHININ 65     SJNP 1, 225
 30   2.22883    2.22883    2.22883    19.860     0.73000 0.64000    0.0  0.0  EISNER 65        PR 138, B670
 31   2.80000    2.80000    2.80000    16.300     1.0000  1.0000     3.5  3.5  BEZNOGIKH 72D    PL 43B, 85
 32   2.80553    2.80553    2.80553    19.210     0.48000 0.48000    1.5  1.5  FICKINGER 62     PR 125, 2082
 33   3.00000    3.00000    3.00000    17.200     0.70000 0.70000    4.0  4.0  AMBATS 74        PR D9, 1179
 34   3.03662    3.01317    3.06006    17.000     3.0000  3.0000     15.  15.  CORK 57B         PR 107, 859
 35   3.65000    3.65000    3.65000    15.200     0.60000 0.60000    4.0  4.0  AMBATS 74        PR D9, 1179
 36   3.67024    3.64081    3.69965    15.320     0.76000 0.76000    0.0  0.0  SMITH 61         PR 123, 2160
 37   4.00000    3.96000    4.04000    13.500     0.30000 0.30000    0.0  0.0  COLETTI 67       NC A49, 479
 38   4.15000    4.10000    4.20000    11.600     2.6000  2.6000     0.0  0.0  BLUE 62          PR 125, 1386
 39   4.80000    4.80000    4.80000    14.400     1.2000  1.2000     3.5  3.5  BEZNOGIKH 72D    PL 43B, 85
 40   5.00000    5.00000    5.00000    12.700     0.50000 0.50000    4.0  4.0  AMBATS 74        PR D9, 1179
 41   5.25517    5.21046    5.29986    10.000     2.0000  2.0000     15.  15.  CORK 57B         PR 107, 859
 42   5.52000    5.51000    5.53000    11.990     0.25000 0.25000    0.0  0.0  ALEXANDER 67     PR 154, 1284
 43   5.96493    5.96493    5.96493    10.000     2.1000  2.1000     0.0  0.0  PARKS 66         NC A43, 123
 44   6.00000    6.00000    6.00000    11.500     0.50000 0.50000    4.0  4.0  AMBATS 74        PR D9, 1179
 45   6.60000    6.59010    6.60990    11.470     0.33000 0.33000    0.0  0.0  COLTON 73        PR D7, 3267
 46   6.79990    6.79990    6.79990    11.790     0.22000 0.22000    0.0  0.0  FOLEY 63         PRL 11, 425
 47   6.80000    6.80000    6.80000    10.600     0.60000 0.60000    3.5  3.5  BEZNOGIKH 72D    PL 43B, 85
 48   6.92000    6.84500    6.99500    11.400     0.50000 0.50000    0.0  0.0  ALEXANDER 68C    PR 173, 1322
 49   7.02590    6.96385    7.08794    8.0000     2.0000  2.0000     15.  15.  CORK 57B         PR 107, 859
 50   7.07634    7.07634    7.07634    9.7000     1.0000  1.0000     0.0  0.0  TSYGANOV 62      ZETF 42, 1456
 51   7.07634    7.07634    7.07634    9.8000     0.90000 0.90000    0.0  0.0  ZLATEVA 63       ZETF 44, 1470
 52   8.10000    8.00000    8.20000    10.800     0.40000 0.40000    0.0  0.0  GINESTET 69      NP B13, 283
 53   8.50000    8.50000    8.50000    8.7400     0.40000 0.40000    0.0  0.0  DO 61B           ZETF 41, 1748
 54   8.80000    8.80000    8.80000    11.710     0.22000 0.22000    0.0  0.0  FOLEY 63         PRL 11, 425
 55   8.80000    8.80000    8.80000    9.8000     0.30000 0.30000    0.0  0.0  BOOTH 83B        PR D27, 2018
 56   8.90000    8.90000    8.90000    10.100     0.50000 0.50000    3.5  3.5  BEZNOGIKH 72D    PL 43B, 85
 57   9.00000    9.00000    9.00000    10.840     0.32000 0.32000    0.0  0.0  BARTENEV 74B     YF 22, 317
 58   9.11008    9.10003    9.12013    10.800     0.80000 0.80000    0.0  0.0  DO 63B           ZETF 44, 1487
 59   9.39140    9.39140    9.39140    8.6000     0.80000 0.80000    0.0  0.0  MARKOV 60        ZETF 38, 1471
 60   9.89388    9.89388    9.89388    10.000     3.0000  3.0000     0.0  0.0  BOGACHEV 59      ZETF 37, 1225
 61   9.90000    9.80100    9.99900    10.200     0.50000 0.50000    15.  15.  EDELSTEIN 72     PR D5, 1073
 62   10.01000   10.00000   10.02000   10.200     0.60000 0.60000    0.0  0.0  ALMEIDA 68       PR 174, 1638
 63   10.80000   10.80000   10.80000   11.040     0.22000 0.22000    0.0  0.0  FOLEY 63         PRL 11, 425
